,title,video_id,Published At,Keyword,Likes,Comments,Views
1574,¡RUMORES apuntan a un NINTENDO DIRECT el DÍA 14 de SEPTIEMBRE! ¿NUEVO STAR FOX en CAMINO?,EvMp_cnU1Cc,24-08-2022,nintendo,221.0,35.0,2225.0
1575,Nintendo Switch: Five Years In - Scott The Woz,92F46l6vpRs,08-06-2022,nintendo,89783.0,7013.0,2610708.0
1576,Splatoon 3 – Release Date Revealed  - Nintendo Switch,Rkz-PjCQjWk,22-04-2022,nintendo,77209.0,8351.0,1700683.0
1577,Nintendo has been accused...,_bFhv1gXFrc,17-08-2022,nintendo,5437.0,1020.0,109574.0
1578,"LA FECHA DEFINITIVA del NINTENDO DIRECT con ZELDA, METROID y MARIO!? | Nuevo Star Fox | PS Showcase",6i0BA-cDnrU,24-08-2022,nintendo,814.0,85.0,12274.0
1579,"Pokemon Presents - Official Full Presentation (August 3, 2022)",nHnh15pScSI,03-08-2022,nintendo,4936.0,750.0,208877.0
1580,"No One Has The Balls To Make This Nintendo Video, So I Will",JbTvmqtskYY,18-08-2022,nintendo,4972.0,1307.0,87422.0
1581,Mario Strikers: Battle League - 1st Free Update - Nintendo Switch,29qaA3suXBk,19-07-2022,nintendo,28895.0,6897.0,707813.0
1582,nintendo switch OLED unboxing (+ accessories!!) 🐶🍃🌸,k1wBOG4v3T4,22-12-2021,nintendo,22443.0,300.0,681002.0
1583,Nintendo Switch accessories you NEED!,-fDBPPKcjX0,22-08-2022,nintendo,24496.0,257.0,254500.0
1584,The Nintendo Switch BIGGEST SECRET Has Finally Been Revealed....,xvCmnfVQQRE,21-08-2022,nintendo,3675.0,685.0,85298.0
1585,Nintendo Switch HUNTING in NEW YORK CITY!,8nkTemr8AVY,20-07-2022,nintendo,15392.0,1232.0,297966.0
1586,Steam Deck is the &quot;END&quot; of Nintendo Switch?,xc7d1iU7SVI,23-05-2022,nintendo,24059.0,3355.0,805728.0
1587,Xbox REVEALS Big Updates For Xbox Series X Exclusives &amp; Xbox Game Pass For PC | Xbox News,kVMMvvKkJpM,24-08-2022,xbox,926.0,258.0,16396.0
